Asianpaints,paintsvarnishes/asianpaints/AP31
Astral,plastics/astrallimited/APT02
Axisbank,banks-private-sector/axisbank/AB16
Bajajfinance,finance-nbfc/bajajfinance/BAF
Bataindia,leather-products/bataindia/BI01
Cdsl,finance-investments/centraldepositoryservicesltd/CDS
Colgate,personal-care/colgatepalmoliveindia/CPI
DeepakNitrite,chemicals/deepaknitrite/DN
Dmart,retail/avenuesupermarts/AS19
Icicibank,banks-private-sector/icicibank/ICI02
Infosys,computers-software/infosys/IT
Itc,diversified/itc/ITC
Ltimindtree,computers-software/ltimindtree/LI12
Reliance,refineries/relianceindustries/RI
Sbi,banks-public-sector/statebankindia/SBI
Tataelxsi,computers-software/tataelxsi/TE
Tatamotors,auto-lcvshcvs/tatamotors/TM03
Tatapower,power-generationdistribution/thetatapowercompany/TPC
Tatasteel,ironsteel/tatasteel/TIS
Techmahindra,computers-software/techmahindra/TM4
Ultratech,cement-major/ultratechcement/UTC01
Varunbeverages,food-processing/varunbeverages/VB05
Wipro,computers-software/wipro/W
